Dispensary Name,Dispensary URL,Brand,Products
"",http://www.affinityne.com/,Affinity - Boston,Medical Sales
Berkshire Roots - East Boston,https://berkshireroots.com/,Berkshire Roots - East Boston,"Recreational Sales, ATM On-Site, Handicapped Accessible"
Ermont,https://ermontinc.org/,Ermont,"Medical Sales, Handicapped Accessible"
Ethos - Dorchester,https://ethoscannabis.com/dispensary-locations/ma/dorchester/,Ethos - Dorchester,"Medical Sales, ATM On-Site, Handicapped Accessible"
Garden Remedies - Newton,https://gardenremedies.com/,Garden Remedies - Newton,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
Mayflower Medicinals - Allston,http://www.mayflowermedicinals.com/,Mayflower Medicinals - Allston,"Medical Sales, ATM On-Site, Handicapped Accessible"
NETA - Brookline,https://netacare.org/locations/neta-brookline/,NETA - Brookline,"Medical Sales, Recreational Sales, Handicapped Accessible"
"",http://patriotcare.org/,Patriot Care - Boston,Medical Sales
"",http://www.mypureoasis.com/,Pure Oasis,Recreational Sales
"",https://www.sanctuarymed.com/,Sanctuary Medicinals - Brookline,"Medical Sales, Recreational Sales"
"",http://masswellspring.org/,Mass Wellspring,Medical Sales
"",http://atgcannabis.com/,Alternative Therapies Group - Amesbury,Recreational Sales
"",https://cnastores.com/,CNA Stores - Amesbury,Recreational Sales
Mass Alternative Care - Amherst,https://www.massaltcare.com/,Mass Alternative Care - Amherst,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
RISE Dispensaries - Amherst (Medical),https://risecannabis.com/dispensaries/massachusetts/amherst/,RISE Dispensaries - Amherst (Medical),"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
RISE Dispensaries - Amherst,https://risecannabis.com/dispensaries/massachusetts/amherst/,RISE Dispensaries - Amherst,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
Apothca - Arlington,http://www.apothca.com/,Apothca - Arlington,Recreational Sales
"",https://elev8cannabis.com/,Elev8 Cannabis - Athol,Recreational Sales
"",http://novafarms.com/,Nova Farms - Attleboro,Recreational Sales
"",http://centralavecare.org/,Central Ave Compassionate Care,"Medical Sales, Handicapped Accessible"
"",http://www.gagecannabisco.com/,Gage Cannabis Co. - Ayer,"Recreational Sales, Cards"
Canna Corner - Becket,https://cannacornerbecket.com/,Canna Corner - Becket,"Recreational Sales, Handicapped Accessible"
Alternative Compassion Services,http://acscompassion.com/,Alternative Compassion Services,"Medical Sales, Handicapped Accessible"
Theory Wellness - Bridgewater,https://theorywellness.org/,Theory Wellness - Bridgewater,"Medical Sales, Handicapped Accessible"
"",http://ingoodhealthma.com/,In Good Health - Brockton,"Medical Sales, Recreational Sales"
Revolutionary Clinics - Fresh Pond,https://www.revolutionaryclinics.org,Revolutionary Clinics - Fresh Pond,"Medical Sales, ATM On-Site, Handicapped Accessible"
Revolutionary Clinics - Central Square,https://www.revolutionaryclinics.org/,Revolutionary Clinics - Central Square,"Medical Sales, ATM On-Site, Handicapped Accessible"
"",https://www.greengold.group/,Green Gold - Charlton,Medical Sales
"",https://www.westernfrontus.com/,Western Front,Recreational Sales
Mass Alternative Care - Chicopee,https://www.massaltcare.com/,Mass Alternative Care - Chicopee,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
Theory Wellness - Chicopee,https://theorywellness.org/,Theory Wellness - Chicopee,"Medical Sales, Recreational Sales, Handicapped Accessible"
"",https://www.sanctuarymeddanvers.com/,Sanctuary Medicinals - Danvers,Medical Sales
"",https://greenstarherb.com/dracut/,GreenStar Herbals,Recreational Sales
INSA - Easthampton,https://myinsa.com/,INSA - Easthampton,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
"",http://libertycannabis.com/,Liberty - Easthampton,"Medical Sales, Recreational Sales"
The Verb is Herb,https://cannaprovisionsgroup.com/dispensaries/easthampton/,The Verb is Herb,"Recreational Sales, ATM On-Site, Handicapped Accessible"
BASK,http://www.cometobask.com/,BASK,"Medical Sales, ATM On-Site, Handicapped Accessible"
Nature's Medicines - Fall River,http://naturesmedicines.com/fall-river-ma-dispensary/,Nature's Medicines - Fall River,"Medical Sales, ATM On-Site"
Northeast Alternatives,https://www.nealternatives.com/,Northeast Alternatives,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
Sunnyside Cannabis Dispensary – Fall River,https://bit.ly/3ffSvBh,Sunnyside Cannabis Dispensary – Fall River,"Medical Sales, Recreational Sales"
AMP (Atlantic Medicinal Partners) - Fitchburg,https://www.ampma.org/locations/fitchburg-dispensary/,AMP (Atlantic Medicinal Partners) - Fitchburg,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
Ethos - Fitchburg,https://ethoscannabis.com/dispensary-locations/ma/fitchburg/,Ethos - Fitchburg,"Recreational Sales, ATM On-Site, Handicapped Accessible"
"",https://www.localroots.cc/,Local Roots - Fitchburg,Recreational Sales
"",https://www.cultivatemass.com/,Cultivate - Framingham,Recreational Sales
Temescal Wellness - Framingham,http://ma.temescalwellness.com/,Temescal Wellness - Framingham,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
Sanctuary Medicinals - Gardner,https://www.sanctuarymedgardner.com/,Sanctuary Medicinals - Gardner,"Medical Sales, Recreational Sales, Handicapped Accessible"
Mission - Georgetown,https://missiondispensaries.com/,Mission - Georgetown,"Medical Sales, Recreational Sales, ATM On-Site, Handicapped Accessible"
"",https://www.happyvalley.org/locations/gloucester-dispensary/,Happy Valley - Gloucester,"Medical Sales, Recreational Sales"
"",http://www.calyxberkshire.com/,Calyx - Berkshire,Recreational Sales
